,Batter,Batter Team(s),No. of Innings,Not Outs,Total Runs,Balls Faced,No. of Outs,Batting Average,Strike Rate,Balls Faced per Innings,Balls Faced per Wicket
0,A Ashish Reddy,Sunrisers Hyderabad/Deccan Chargers,22,8,266,181,14,19,146.961326,8.227272727,12.92857143
1,A Badoni,Lucknow Super Giants,22,4,340,268,18,18.88888889,126.8656716,12.18181818,14.88888889
2,A Chandila,Rajasthan Royals,2,2,4,7,0,4,57.14285714,3.5,inf
3,A Chopra,Kolkata Knight Riders,6,0,53,71,6,8.833333333,74.64788732,11.83333333,11.83333333
4,A Choudhary,Royal Challengers Bangalore,3,2,25,20,1,25,125,6.666666667,20
5,A Dananjaya,Mumbai Indians,1,1,4,5,0,4,80,5,inf
6,A Flintoff,Chennai Super Kings,3,1,62,53,2,31,116.9811321,17.66666667,26.5
7,A Kumble,Royal Challengers Bangalore,15,12,35,47,3,11.66666667,74.46808511,3.133333333,15.66666667
8,A Manohar,Gujarat Titans,13,1,222,158,12,18.5,140.5063291,12.15384615,13.16666667
9,A Mishra,Delhi Daredevils/Sunrisers Hyderabad/Deccan Chargers/Delhi Capitals/Lucknow Super Giants,55,24,381,417,31,12.29032258,91.36690647,7.581818182,13.4516129
10,A Mithun,Royal Challengers Bangalore,6,1,34,26,5,6.8,130.7692308,4.333333333,5.2
11,A Mukund,Chennai Super Kings/Royal Challengers Bangalore,2,0,19,22,2,9.5,86.36363636,11,11
12,A Nehra,Chennai Super Kings/Mumbai Indians/Delhi Daredevils/Pune Warriors/Sunrisers Hyderabad,17,10,41,60,7,5.857142857,68.33333333,3.529411765,8.571428571
13,A Nortje,Delhi Capitals,10,6,42,40,4,10.5,105,4,10
14,A Singh,Rajasthan Royals,5,1,2,9,4,0.5,22.22222222,1.8,2.25
15,A Symonds,Deccan Chargers/Mumbai Indians,36,9,974,745,27,36.07407407,130.738255,20.69444444,27.59259259
16,A Tomar,Kolkata Knight Riders,1,0,4,8,1,4,50,8,8
17,A Uniyal,Rajasthan Royals,2,1,4,7,1,4,57.14285714,3.5,7
18,A Zampa,Rising Pune Supergiants/Rajasthan Royals/Rising Pune Supergiant,5,0,15,24,5,3,62.5,4.8,4.8
19,AA Bilakhia,Deccan Chargers,7,2,69,84,5,13.8,82.14285714,12,16.8
20,AA Chavan,Rajasthan Royals,3,1,12,11,2,6,109.0909091,3.666666667,5.5
21,AA Jhunjhunwala,Rajasthan Royals/Deccan Chargers/Pune Warriors,15,2,217,209,13,16.69230769,103.8277512,13.93333333,16.07692308
22,AA Noffke,Royal Challengers Bangalore,1,0,9,10,1,9,90,10,10
23,AB Agarkar,Kolkata Knight Riders/Delhi Daredevils,17,7,178,150,10,17.8,118.6666667,8.823529412,15
24,AB Barath,Kings XI Punjab,3,1,42,42,2,21,100,14,21
25,AB Dinda,Pune Warriors/Royal Challengers Bangalore/Kolkata Knight Riders/Rising Pune Supergiant/Delhi Daredevils,16,6,26,48,10,2.6,54.16666667,3,4.8
26,AB McDonald,Delhi Daredevils/Royal Challengers Bangalore,8,4,123,98,4,30.75,125.5102041,12.25,24.5
27,AB de Villiers,Delhi Daredevils/Royal Challengers Bangalore,166,39,5001,3288,127,39.37795276,152.0985401,19.80722892,25.88976378
28,AC Blizzard,Mumbai Indians,7,0,120,90,7,17.14285714,133.3333333,12.85714286,12.85714286
29,AC Gilchrist,Deccan Chargers/Kings XI Punjab,80,4,2069,1483,76,27.22368421,139.5144976,18.5375,19.51315789
30,AC Thomas,Pune Warriors,4,2,20,19,2,10,105.2631579,4.75,9.5
31,AC Voges,Rajasthan Royals,7,3,181,143,4,45.25,126.5734266,20.42857143,35.75
32,AD Hales,Sunrisers Hyderabad,6,0,148,117,6,24.66666667,126.4957265,19.5,19.5
33,AD Mascarenhas,Kings XI Punjab/Rajasthan Royals,10,2,52,50,8,6.5,104,5,6.25
34,AD Mathews,Pune Warriors/Kolkata Knight Riders/Delhi Daredevils,40,10,723,570,30,24.1,126.8421053,14.25,19
35,AD Nath,Gujarat Lions/Royal Challengers Bangalore/Kings XI Punjab,10,0,90,98,10,9,91.83673469,9.8,9.8
36,AD Russell,Kolkata Knight Riders/Delhi Daredevils,93,17,2191,1250,76,28.82894737,175.28,13.44086022,16.44736842
37,AF Milne,Mumbai Indians/Royal Challengers Bangalore,6,2,23,29,4,5.75,79.31034483,4.833333333,7.25
38,AG Murtaza,Pune Warriors/Mumbai Indians,3,2,10,14,1,10,71.42857143,4.666666667,14
39,AG Paunikar,Rajasthan Royals,5,0,49,55,5,9.8,89.09090909,11,11
40,AJ Finch,Kings XI Punjab/Gujarat Lions/Sunrisers Hyderabad/Pune Warriors/Delhi Daredevils/Royal Challengers Bangalore/Mumbai Indians/Kolkata Knight Riders/Rajasthan Royals,88,6,2039,1585,82,24.86585366,128.6435331,18.01136364,19.32926829
41,AJ Hosein,Sunrisers Hyderabad,1,1,16,10,0,16,160,10,inf
42,AJ Turner,Rajasthan Royals,4,1,3,10,3,1,30,2.5,3.333333333
43,AJ Tye,Kings XI Punjab/Gujarat Lions/Rajasthan Royals,12,4,66,64,8,8.25,103.125,5.333333333,8
44,AK Markram,Sunrisers Hyderabad/Punjab Kings,31,7,775,589,24,32.29166667,131.5789474,19,24.54166667
45,AL Menaria,Rajasthan Royals,23,2,401,354,21,19.0952381,113.2768362,15.39130435,16.85714286
46,AM Nayar,Mumbai Indians/Rajasthan Royals/Kings XI Punjab/Pune Warriors,50,12,672,573,38,17.68421053,117.2774869,11.46,15.07894737
47,AM Rahane,Chennai Super Kings/Rajasthan Royals/Rising Pune Supergiants/Kolkata Knight Riders/Rising Pune Supergiant/Delhi Capitals/Mumbai Indians,157,17,4254,3448,140,30.38571429,123.3758701,21.96178344,24.62857143
48,AN Ahmed,Royal Challengers Bangalore/Mumbai Indians,6,5,36,26,1,36,138.4615385,4.333333333,26
49,AN Ghosh,Kolkata Knight Riders,2,0,7,8,2,3.5,87.5,4,4
50,AP Dole,Rajasthan Royals,2,0,34,22,2,17,154.5454545,11,11
51,AP Majumdar,Pune Warriors,4,0,87,76,4,21.75,114.4736842,19,19
52,AP Tare,Sunrisers Hyderabad/Mumbai Indians/Delhi Daredevils,27,3,339,272,24,14.125,124.6323529,10.07407407,11.33333333
53,AR Bawne,Delhi Daredevils,1,1,12,12,0,12,100,12,inf
54,AR Patel,Delhi Capitals/Kings XI Punjab,98,30,1400,1064,68,20.58823529,131.5789474,10.85714286,15.64705882
55,AS Joseph,Gujarat Titans/Mumbai Indians,5,4,27,32,1,27,84.375,6.4,32
56,AS Rajpoot,Kings XI Punjab/Rajasthan Royals/Kolkata Knight Riders/Chennai Super Kings,7,2,26,41,5,5.2,63.41463415,5.857142857,8.2
57,AS Raut,Rajasthan Royals,15,6,173,154,9,19.22222222,112.3376623,10.26666667,17.11111111
58,AS Roy,Kolkata Knight Riders,5,2,23,21,3,7.666666667,109.5238095,4.2,7
59,AS Yadav,Deccan Chargers,6,1,49,39,5,9.8,125.6410256,6.5,7.8
60,AT Carey,Delhi Capitals,3,1,32,29,2,16,110.3448276,9.666666667,14.5
61,AT Rayudu,Mumbai Indians/Chennai Super Kings,185,30,4348,3391,155,28.0516129,128.2217635,18.32972973,21.87741935
62,AU Rashid,Sunrisers Hyderabad,2,0,22,15,2,11,146.6666667,7.5,7.5
63,AUK Pathan,Royal Challengers Bangalore,7,2,39,23,5,7.8,169.5652174,3.285714286,4.6
64,Abdul Basith,Rajasthan Royals,1,1,1,1,0,1,100,1,inf
65,Abdul Samad,Sunrisers Hyderabad,26,7,372,269,19,19.57894737,138.2899628,10.34615385,14.15789474
66,Abdur Razzak,Royal Challengers Bangalore,1,1,0,2,0,0,0,2,inf
67,Abhishek Sharma,Sunrisers Hyderabad/Delhi Daredevils,43,6,886,639,37,23.94594595,138.6541471,14.86046512,17.27027027
68,Abishek Porel,Delhi Capitals,4,0,33,31,4,8.25,106.4516129,7.75,7.75
69,Akash Deep,Royal Challengers Bangalore,2,0,17,10,2,8.5,170,5,5
70,Aman Hakim Khan,Delhi Capitals/Kolkata Knight Riders,10,1,115,104,9,12.77777778,110.5769231,10.4,11.55555556
71,Anirudh Singh,Deccan Chargers,4,0,63,66,4,15.75,95.45454545,16.5,16.5
72,Ankit Sharma,Rajasthan Royals/Deccan Chargers/Rising Pune Supergiants/Rising Pune Supergiant,10,3,87,67,7,12.42857143,129.8507463,6.7,9.571428571
73,Ankit Soni,Gujarat Lions,2,0,0,7,2,0,0,3.5,3.5
74,Anmolpreet Singh,Mumbai Indians/Sunrisers Hyderabad,7,0,134,109,7,19.14285714,122.9357798,15.57142857,15.57142857
75,Anuj Rawat,Royal Challengers Bangalore/Rajasthan Royals,16,4,220,190,12,18.33333333,115.7894737,11.875,15.83333333
76,Anureet Singh,Kings XI Punjab/Rajasthan Royals,8,4,36,47,4,9,76.59574468,5.875,11.75
77,Arjun Tendulkar,Mumbai Indians,1,0,13,9,1,13,144.4444444,9,9
78,Arshad Khan,Mumbai Indians,3,1,18,15,2,9,120,5,7.5
79,Arshdeep Singh,Punjab Kings/Kings XI Punjab,10,6,25,37,4,6.25,67.56756757,3.7,9.25
80,Atharva Taide,Punjab Kings,7,0,186,129,7,26.57142857,144.1860465,18.42857143,18.42857143
81,Avesh Khan,Delhi Capitals/Lucknow Super Giants,7,5,31,20,2,15.5,155,2.857142857,10
82,Azhar Mahmood,Kings XI Punjab/Kolkata Knight Riders,21,2,388,303,19,20.42105263,128.0528053,14.42857143,15.94736842
83,B Akhil,Royal Challengers Bangalore/Kochi Tuskers Kerala,11,5,76,55,6,12.66666667,138.1818182,5,9.166666667
84,B Chipli,Royal Challengers Bangalore/Deccan Chargers/Delhi Daredevils,21,6,280,250,15,18.66666667,112,11.9047619,16.66666667
85,B Indrajith,Kolkata Knight Riders,3,0,21,30,3,7,70,10,10
86,B Kumar,Sunrisers Hyderabad/Pune Warriors,60,28,283,296,32,8.84375,95.60810811,4.933333333,9.25
87,B Laughlin,Chennai Super Kings/Rajasthan Royals,4,2,5,13,2,2.5,38.46153846,3.25,6.5
88,B Lee,Kolkata Knight Riders/Kings XI Punjab,19,9,124,96,10,12.4,129.1666667,5.052631579,9.6
89,B Sai Sudharsan,Gujarat Titans,13,2,507,366,11,46.09090909,138.5245902,28.15384615,33.27272727
90,B Stanlake,Sunrisers Hyderabad,1,1,5,2,0,5,250,2,inf
91,B Sumanth,Deccan Chargers,4,3,35,37,1,35,94.59459459,9.25,37
92,BA Bhatt,Kings XI Punjab,2,1,6,7,1,6,85.71428571,3.5,7
93,BA Stokes,Rajasthan Royals/Chennai Super Kings/Rising Pune Supergiant,43,5,935,695,38,24.60526316,134.5323741,16.1627907,18.28947368
94,BAW Mendis,Kolkata Knight Riders/Pune Warriors,3,1,3,6,2,1.5,50,2,3
95,BB McCullum,Kochi Tuskers Kerala/Chennai Super Kings/Kolkata Knight Riders/Gujarat Lions/Royal Challengers Bangalore,107,5,2871,2159,102,28.14705882,132.9782307,20.17757009,21.16666667
96,BB Samantray,Deccan Chargers/Sunrisers Hyderabad,8,3,125,113,5,25,110.619469,14.125,22.6
97,BB Sran,Kings XI Punjab/Sunrisers Hyderabad/Mumbai Indians,7,6,10,13,1,10,76.92307692,1.857142857,13
98,BCJ Cutting,Mumbai Indians/Sunrisers Hyderabad/Rajasthan Royals,17,6,238,141,11,21.63636364,168.7943262,8.294117647,12.81818182
99,BE Hendricks,Kings XI Punjab,2,1,1,3,1,1,33.33333333,1.5,3
100,BJ Haddin,Kolkata Knight Riders,1,0,18,11,1,18,163.6363636,11,11
101,BJ Hodge,Kochi Tuskers Kerala/Kolkata Knight Riders/Rajasthan Royals,62,21,1395,1105,41,34.02439024,126.2443439,17.82258065,26.95121951
102,BJ Rohrer,Delhi Daredevils,7,2,179,126,5,35.8,142.0634921,18,25.2
103,BMAJ Mendis,Delhi Daredevils,3,0,23,27,3,7.666666667,85.18518519,9,9
104,BR Dunk,Mumbai Indians,3,0,40,35,3,13.33333333,114.2857143,11.66666667,11.66666667
105,Basil Thampi,Sunrisers Hyderabad/Gujarat Lions,6,5,30,31,1,30,96.77419355,5.166666667,31
106,Bipul Sharma,Kings XI Punjab/Sunrisers Hyderabad,17,9,187,123,8,23.375,152.0325203,7.235294118,15.375
107,C Green,Mumbai Indians,16,7,452,279,9,50.22222222,162.0071685,17.4375,31
108,C Madan,Mumbai Indians,1,0,15,18,1,15,83.33333333,18,18
109,C Munro,Delhi Capitals/Kolkata Knight Riders/Delhi Daredevils,11,-1,177,141,12,14.75,125.5319149,12.81818182,11.75
110,C Nanda,Mumbai Indians,1,0,0,1,1,0,0,1,1
111,C Sakariya,Rajasthan Royals/Delhi Capitals,7,1,20,30,6,3.333333333,66.66666667,4.285714286,5
112,C de Grandhomme,Royal Challengers Bangalore/Kolkata Knight Riders,21,5,303,224,16,18.9375,135.2678571,10.66666667,14
113,CA Ingram,Delhi Capitals/Delhi Daredevils,13,2,182,161,11,16.54545455,113.0434783,12.38461538,14.63636364
114,CA Lynn,Kolkata Knight Riders/Deccan Chargers/Mumbai Indians,41,3,1309,923,38,34.44736842,141.8201517,22.51219512,24.28947368
115,CA Pujara,Kings XI Punjab/Royal Challengers Bangalore/Kolkata Knight Riders,22,3,390,390,19,20.52631579,100,17.72727273,20.52631579
116,CH Gayle,Royal Challengers Bangalore/Kolkata Knight Riders/Kings XI Punjab/Punjab Kings,135,15,4875,3244,120,40.625,150.2774353,24.02962963,27.03333333
117,CH Morris,Chennai Super Kings/Delhi Capitals/Delhi Daredevils/Rajasthan Royals/Royal Challengers Bangalore,49,21,618,397,28,22.07142857,155.6675063,8.102040816,14.17857143
118,CJ Anderson,Mumbai Indians/Delhi Daredevils/Royal Challengers Bangalore,29,7,538,421,22,24.45454545,127.7909739,14.51724138,19.13636364
119,CJ Ferguson,Pune Warriors,8,2,98,117,6,16.33333333,83.76068376,14.625,19.5
120,CJ Jordan,Kings XI Punjab/Mumbai Indians/Chennai Super Kings/Punjab Kings/Sunrisers Hyderabad/Royal Challengers Bangalore,10,2,63,63,8,7.875,100,6.3,7.875
121,CJ McKay,Mumbai Indians,1,0,8,15,1,8,53.33333333,15,15
122,CK Kapugedera,Chennai Super Kings,3,0,16,22,3,5.333333333,72.72727273,7.333333333,7.333333333
123,CK Langeveldt,Kolkata Knight Riders/Royal Challengers Bangalore,2,0,8,9,2,4,88.88888889,4.5,4.5
124,CL White,Deccan Chargers/Royal Challengers Bangalore/Sunrisers Hyderabad,44,9,949,743,35,27.11428571,127.7254374,16.88636364,21.22857143
125,CM Gautam,Mumbai Indians/Delhi Daredevils,13,3,169,149,10,16.9,113.4228188,11.46153846,14.9
126,CR Brathwaite,Delhi Daredevils/Kolkata Knight Riders/Sunrisers Hyderabad,14,1,181,110,13,13.92307692,164.5454545,7.857142857,8.461538462
127,CR Woakes,Kolkata Knight Riders/Royal Challengers Bangalore/Delhi Capitals,12,6,78,77,6,13,101.2987013,6.416666667,12.83333333
128,CRD Fernando,Mumbai Indians,2,2,4,3,0,4,133.3333333,1.5,inf
129,CV Varun,Kolkata Knight Riders,10,6,25,46,4,6.25,54.34782609,4.6,11.5
130,D Brevis,Mumbai Indians,7,0,161,113,7,23,142.4778761,16.14285714,16.14285714
131,D Kalyankrishna,Deccan Chargers,1,0,3,8,1,3,37.5,8,8
132,D Padikkal,Rajasthan Royals/Royal Challengers Bangalore,56,2,1467,1170,54,27.16666667,125.3846154,20.89285714,21.66666667
133,D Pretorius,Chennai Super Kings,5,1,44,28,4,11,157.1428571,5.6,7
134,D Salunkhe,Rajasthan Royals,3,1,33,24,2,16.5,137.5,8,12
135,D Wiese,Kolkata Knight Riders/Royal Challengers Bangalore,10,6,137,92,4,34.25,148.9130435,9.2,23
136,D du Preez,Royal Challengers Bangalore,1,0,10,13,1,10,76.92307692,13,13
137,DA Miller,Gujarat Titans/Kings XI Punjab/Rajasthan Royals,113,39,2660,1923,74,35.94594595,138.325533,17.01769912,25.98648649
138,DA Warner,Delhi Daredevils/Sunrisers Hyderabad/Delhi Capitals,172,21,6310,4487,151,41.78807947,140.6284823,26.0872093,29.71523179
139,DAJ Bracewell,Delhi Daredevils,1,1,12,9,0,12,133.3333333,9,inf
140,DB Das,Kolkata Knight Riders,22,8,304,260,14,21.71428571,116.9230769,11.81818182,18.57142857
141,DB Ravi Teja,Deccan Chargers/Sunrisers Hyderabad,25,6,375,315,19,19.73684211,119.047619,12.6,16.57894737
142,DE Bollinger,Chennai Super Kings,4,3,21,22,1,21,95.45454545,5.5,22
143,DG Nalkande,Gujarat Titans,1,0,0,1,1,0,0,1,1
144,DH Yagnik,Rajasthan Royals,17,7,170,133,10,17,127.8195489,7.823529412,13.3
145,DJ Bravo,Chennai Super Kings/Mumbai Indians/Gujarat Lions,110,41,1560,1196,69,22.60869565,130.4347826,10.87272727,17.33333333
146,DJ Harris,Deccan Chargers,4,0,111,101,4,27.75,109.9009901,25.25,25.25
147,DJ Hooda,Rajasthan Royals/Sunrisers Hyderabad/Lucknow Super Giants/Kings XI Punjab/Punjab Kings,85,14,1278,996,71,18,128.313253,11.71764706,14.02816901
148,DJ Hussey,Kings XI Punjab/Kolkata Knight Riders/Chennai Super Kings,61,12,1322,1070,49,26.97959184,123.5514019,17.54098361,21.83673469
149,DJ Jacobs,Mumbai Indians,7,0,92,98,7,13.14285714,93.87755102,14,14
150,DJ Malan,Punjab Kings,1,0,26,26,1,26,100,26,26
151,DJ Mitchell,Rajasthan Royals,2,0,33,44,2,16.5,75,22,22
152,DJ Muthuswami,Delhi Daredevils,1,0,1,3,1,1,33.33333333,3,3
153,DJ Thornely,Mumbai Indians,4,1,39,53,3,13,73.58490566,13.25,17.66666667
154,DJ Willey,Royal Challengers Bangalore,5,3,53,62,2,26.5,85.48387097,12.4,31
155,DJG Sammy,Sunrisers Hyderabad/Royal Challengers Bangalore,20,5,295,241,15,19.66666667,122.406639,12.05,16.06666667
156,DJM Short,Rajasthan Royals,7,0,115,99,7,16.42857143,116.1616162,14.14285714,14.14285714
157,DL Chahar,Chennai Super Kings/Rising Pune Supergiant,12,5,80,59,7,11.42857143,135.5932203,4.916666667,8.428571429
158,DL Vettori,Delhi Daredevils/Royal Challengers Bangalore,16,8,121,112,8,15.125,108.0357143,7,14
159,DM Bravo,Kolkata Knight Riders,1,1,6,5,0,6,120,5,inf
160,DNT Zoysa,Deccan Chargers,2,1,11,9,1,11,122.2222222,4.5,9
161,DP Conway,Chennai Super Kings,22,3,924,651,19,48.63157895,141.9354839,29.59090909,34.26315789
162,DP Nannes,Delhi Daredevils,2,1,4,13,1,4,30.76923077,6.5,13
163,DP Vijaykumar,Deccan Chargers,1,1,1,1,0,1,100,1,inf
164,DPMD Jayawardene,Kings XI Punjab/Kochi Tuskers Kerala/Delhi Daredevils,76,15,1771,1424,61,29.03278689,124.3679775,18.73684211,23.3442623
165,DR Martyn,Rajasthan Royals,1,0,19,24,1,19,79.16666667,24,24
166,DR Sams,Mumbai Indians/Royal Challengers Bangalore/Delhi Capitals,13,4,44,44,9,4.888888889,100,3.384615385,4.888888889
167,DR Shorey,Chennai Super Kings,2,0,13,17,2,6.5,76.47058824,8.5,8.5
168,DR Smith,Chennai Super Kings/Deccan Chargers/Mumbai Indians/Gujarat Lions,88,4,2385,1755,84,28.39285714,135.8974359,19.94318182,20.89285714
169,DS Kulkarni,Rajasthan Royals/Gujarat Lions/Mumbai Indians,20,11,104,108,9,11.55555556,96.2962963,5.4,12
170,DS Lehmann,Rajasthan Royals,2,0,18,18,2,9,100,9,9
171,DT Christian,Royal Challengers Bangalore/Deccan Chargers/Rising Pune Supergiant/Delhi Daredevils,41,10,460,394,31,14.83870968,116.751269,9.609756098,12.70967742
172,DT Patil,Royal Challengers Bangalore,2,0,13,13,2,6.5,100,6.5,6.5
173,DW Steyn,Sunrisers Hyderabad/Deccan Chargers/Royal Challengers Bangalore/Gujarat Lions,32,10,164,157,22,7.454545455,104.4585987,4.90625,7.136363636
174,Dhruv Jurel,Rajasthan Royals,11,4,152,88,7,21.71428571,172.7272727,8,12.57142857
175,E Lewis,Lucknow Super Giants/Mumbai Indians/Rajasthan Royals,25,2,653,471,23,28.39130435,138.641189,18.84,20.47826087
176,EJG Morgan,Kolkata Knight Riders/Sunrisers Hyderabad/Kings XI Punjab/Royal Challengers Bangalore,73,12,1371,1122,61,22.47540984,122.1925134,15.36986301,18.39344262
177,ER Dwivedi,Gujarat Lions,2,0,24,14,2,12,171.4285714,7,7
178,F Behardien,Kings XI Punjab,3,1,14,13,2,7,107.6923077,4.333333333,6.5
179,F du Plessis,Chennai Super Kings/Rising Pune Supergiants/Royal Challengers Bangalore/Rising Pune Supergiant,123,11,4133,3074,112,36.90178571,134.4502277,24.99186992,27.44642857
180,FA Allen,Mumbai Indians/Punjab Kings,3,1,14,18,2,7,77.77777778,6,9
181,FH Edwards,Deccan Chargers,2,1,4,5,1,4,80,2.5,5
182,FY Fazal,Rajasthan Royals,11,1,183,172,10,18.3,106.3953488,15.63636364,17.2
183,Fazalhaq Farooqi,Sunrisers Hyderabad,2,2,3,13,0,3,23.07692308,6.5,inf
184,G Gambhir,Delhi Daredevils/Kolkata Knight Riders,150,15,4172,3350,135,30.9037037,124.5373134,22.33333333,24.81481481
185,GB Hogg,Kolkata Knight Riders/Rajasthan Royals,4,1,22,22,3,7.333333333,100,5.5,7.333333333
186,GC Smith,Rajasthan Royals/Pune Warriors,28,3,724,643,25,28.96,112.5972006,22.96428571,25.72
187,GC Viljoen,Kings XI Punjab,3,1,3,7,2,1.5,42.85714286,2.333333333,3.5
188,GD McGrath,Delhi Daredevils,2,1,4,5,1,4,80,2.5,5
189,GD Phillips,Sunrisers Hyderabad/Rajasthan Royals,8,1,65,54,7,9.285714286,120.3703704,6.75,7.714285714
190,GH Vihari,Sunrisers Hyderabad/Delhi Capitals,21,2,238,270,19,12.52631579,88.14814815,12.85714286,14.21052632
191,GHS Garton,Royal Challengers Bangalore,2,1,2,4,1,2,50,2,4
192,GJ Bailey,Kings XI Punjab/Rising Pune Supergiants/Chennai Super Kings,36,9,663,541,27,24.55555556,122.5508318,15.02777778,20.03703704
193,GJ Maxwell,Kings XI Punjab/Delhi Daredevils/Royal Challengers Bangalore/Mumbai Indians,116,16,2717,1705,100,27.17,159.3548387,14.69827586,17.05
194,GR Napier,Mumbai Indians,1,0,15,16,1,15,93.75,16,16
195,Gurkeerat Singh,Kings XI Punjab/Royal Challengers Bangalore,31,8,505,419,23,21.95652174,120.5250597,13.51612903,18.2173913
196,H Das,Deccan Chargers,1,0,2,5,1,2,40,5,5
197,H Klaasen,Rajasthan Royals/Sunrisers Hyderabad/Royal Challengers Bangalore,16,3,508,301,13,39.07692308,168.7707641,18.8125,23.15384615
198,HC Brook,Sunrisers Hyderabad,11,2,190,153,9,21.11111111,124.1830065,13.90909091,17
199,HE van der Dussen,Rajasthan Royals,3,1,22,24,2,11,91.66666667,8,12
200,HF Gurney,Kolkata Knight Riders,1,1,1,5,0,1,20,5,inf
201,HH Gibbs,Deccan Chargers/Mumbai Indians,36,4,886,805,32,27.6875,110.0621118,22.36111111,25.15625
202,HH Pandya,Mumbai Indians/Gujarat Titans,111,39,2264,1541,72,31.44444444,146.917586,13.88288288,21.40277778
203,HM Amla,Kings XI Punjab,16,3,577,406,13,44.38461538,142.1182266,25.375,31.23076923
204,HR Shokeen,Mumbai Indians,5,2,66,65,3,22,101.5384615,13,21.66666667
205,HV Patel,Royal Challengers Bangalore/Delhi Daredevils/Delhi Capitals,32,9,230,182,23,10,126.3736264,5.6875,7.913043478
206,Harbhajan Singh,Mumbai Indians/Chennai Super Kings/Kolkata Knight Riders,87,33,833,598,54,15.42592593,139.2976589,6.873563218,11.07407407
207,Harmeet Singh,Kings XI Punjab/Deccan Chargers,4,0,18,12,4,4.5,150,3,3
208,Harpreet Brar,Punjab Kings/Kings XI Punjab,17,8,158,136,9,17.55555556,116.1764706,8,15.11111111
209,Harpreet Singh,Pune Warriors/Punjab Kings,6,1,96,84,5,19.2,114.2857143,14,16.8
210,Harshit Rana,Kolkata Knight Riders,3,1,2,3,2,1,66.66666667,1,1.5
211,I Malhotra,Deccan Chargers,1,1,7,4,0,7,175,4,inf
212,I Sharma,Deccan Chargers/Kolkata Knight Riders/Kings XI Punjab/Delhi Capitals,18,13,55,61,5,11,90.16393443,3.388888889,12.2
213,I Udana,Royal Challengers Bangalore,4,1,15,11,3,5,136.3636364,2.75,3.666666667
214,IC Pandey,Pune Warriors,1,0,0,2,1,0,0,2,2
